winner,loser,white_pieces,black_pieces,moves,evaluations,material_advantage,move_count
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c7c5, f3h4, d8h4, b2b4, h4d4, c1h6, d4d1, e1d1, g8h6, e2e4, f8d6, f2f4, d6f4, f1a6, b8a6, a2a3, d5e4, h1g1, c8d7, c2c3, d7a4, d1e1, e8c8, h2h3, f4g3, e1e2, a4b5, c3c4, b5c4, e2e3, h6f5, e3e4, d8d4, e4f3, d4f4","[-0.0016, -0.0564, -0.0553, -0.0632, -0.0609, -0.0797, -0.0799, -0.0794, -0.0793, -0.0795, -0.0785, -0.0834, -0.0825, -0.1043, -0.1071, -0.1066, -0.1089, -0.1153, -0.1198, -0.1236, -0.1308, -0.1374, -0.1522, -0.9994, -0.9995, -0.9995, -0.9996, -0.9996, -0.9997, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -3, -3, -4, -4, -13, -4, -7, -7, -7, -7, -8, -8, -11, -11, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -12, -13, -13, -13, -12, -12, -12, -12",35
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"f6d5, e4d5, g7g6, d2d4, b7b5, c4b5, f8d6, d4e5, f7f5, g1f3, e8f7, e1g1, h8g8, e5d6, c7c5, d5c6, b8a6, b5c4, f7e8, d1d5, g8h8, d5f7","[0.0474, 0.05, 0.0546, 0.0518, 0.0603, 0.0593, 0.069, 0.0646, 0.078, 0.0787, 0.0886, 0.0866, 0.1071, 0.1097, 0.1167, 0.1201, 0.3361, 0.9992, 0.9995, 0.9996, 0.9999, 1.0]","0, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 5, 5, 8, 8, 9, 9, 9, 9, 9, 9, 9",22
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"f2f3, d7d5, e4e5, g8h6, g2g3, h6f5, f1e2, f7f6, e5f6, d8f6, b2b3, f6a1, e2a6, b8a6, g3g4, f5h4, c1b2, a1b2, f3f4, a6b4, d1f3, b2b1, e1e2, h4f3, c2c4, b1d3, e2d1, d3f1","[-0.0064, -0.0046, -0.007, -0.0075, -0.0078, -0.0102, -0.0133, -0.0142, -0.0168, -0.0118, -0.0555, -0.0553, -0.0789, -0.0775, -0.0866, -0.0879, -0.1151, -0.113, -0.1156, -0.1204, -0.1645, -0.1718, -0.1723, -0.1736, -0.9995, -0.9996, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -5, -5, -8, -8, -8, -8, -11, -11, -11, -11, -14, -14, -23, -23, -23, -23, -23",28
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"h7h6, f1d3, h6h5, g1f3, g7g5, c1g5, c7c5, g5d8, b8d7, d8c7, a8b8, d4c5, g8h6, d3b5, f7f5, c7b8, h8g8, b8a7, h6f7, e4f5, f8h6, f5e6, h6g5, b5d7, e8e7, e6f7, h5h4, f7g8q, c8d7, d1d6","[0.0072, 0.0071, 0.0123, 0.0121, 0.0289, 0.0282, 0.071, 0.0734, 0.086, 0.0861, 0.0934, 0.0952, 0.1057, 0.1094, 0.1139, 0.1212, 0.1226, 0.1244, 0.1308, 0.1363, 0.1513, 0.1579, 0.1837, 0.1855, 0.208, 0.2146, 0.9996, 0.9997, 0.9999, 1.0]","0, 0, 0, 0, 0, 1, 1, 10, 10, 10, 10, 11, 11, 11, 11, 16, 16, 17, 17, 18, 18, 19, 19, 22, 22, 25, 25, 38, 35, 36",30
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, c1e3, c7c5, d4c5, b8c6, b1d2, f6g4, d2c4, d5c4, h2h4, d8d1, a1d1, g4e3, d1d2, e3f1, a2a3, f1d2, e2e4, d2e4, e1d1, e4f2, d1e1, f2h1, f3d4, c6d4, g2g3, h1g3, e1d1, f8c5, b2b3, c4b3, c2c4, b3b2, d1d2, b2b1q, d2e3, b1e4, e3d2, e4e2, d2c3, g3e4","[-0.0018, -0.0057, -0.0054, -0.0062, -0.0056, -0.0092, -0.0092, -0.0405, -0.0414, -0.0593, -0.0566, -0.0585, -0.0555, -0.0706, -0.071, -0.0948, -0.0997, -0.1331, -0.1338, -0.17, -0.1709, -0.1709, -0.1755, -0.201, -0.203, -0.2085, -0.211, -0.2121, -0.214, -0.479, -0.5309, -0.9995, -0.9996, -0.9996, -0.9997, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 1, 1, 1, 1, 1, -2, -2, -11, -2, -5, -5, -8, -8, -13, -13, -14, -14, -15, -15, -20, -20, -23, -23, -24, -24, -25, -25, -26, -26, -26, -26, -34, -34, -34, -34, -34, -34, -34",41
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d8d7, c2c4, d7c6, f3e5, f8e7, e5c6, b8a6, c6e7, a8b8, e7g8, c7c6, c4d5, b7b6, d5c6, h7h6, e2e4, e8d8, d4d5, h6h5, d5e6, c8d7, d1d7","[0.0047, 0.0044, 0.0105, 0.0114, 0.0625, 0.0626, 0.0771, 0.078, 0.1022, 0.1034, 0.1103, 0.1112, 0.1227, 0.1227, 0.1239, 0.1263, 0.1438, 0.1442, 0.9994, 0.9995, 0.9999, 1.0]","0, 0, 0, 0, 0, 9, 9, 12, 12, 15, 15, 16, 16, 17, 17, 17, 17, 17, 17, 18, 18, 21",22
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"h2h3, d5e4, d1e2, b8c6, a2a3, g8f6, b2b3, c6d4, e2g4, d4c2, e1d1, f6g4, f1d3, d8d3, g1e2, g4f2","[-0.0076, -0.007, -0.0132, -0.012, -0.0199, -0.0207, -0.0302, -0.0323, -0.1025, -0.1021, -0.1032, -0.0938, -0.9994, -0.9995, -0.9999, -1.0]","0, -1, -1, -1, -1, -1, -1, -1, -1, -2, -2, -11, -11, -14, -14, -15",16
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"f7f5, d2d4, e7e6, c2c4, c7c5, d4d5, a7a6, g1h3, e6d5, c4d5, f8d6, a2a4, d6f8, a4a5, a8a7, b1d2, d8h4, g2g3, h4e4, d2e4, f8d6, e4d6, e8e7, d6c8, e7f6, d1c2, c5c4, c2c3, f6f7, c8d6, f7e7, c3e5, e7d8, e5e8, d8c7, c1f4, b7b6, e8c8","[0.0031, 0.0028, 0.0028, 0.0023, 0.0046, 0.0056, 0.0104, 0.0112, 0.0109, 0.0122, 0.013, 0.0136, 0.0186, 0.0194, 0.0257, 0.0285, 0.0365, 0.0401, 0.0775, 0.0754, 0.1472, 0.1508, 0.1528, 0.16, 0.1686, 0.1792, 0.9993, 0.9995, 0.9995, 0.9996, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 12, 12, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15",38
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e6, d1a4, g8f6, g2g3, c7c5, a4b3, c5d4, b3b7, c8b7, g1f3, d8a5, f3d2, b7h1, e2e3, d4e3, e1e2, a5h5, e2e1, e3f2, e1f2, h5h2, f2e3, b8c6, b1c3, f8c5, e3d3, c6b4","[0.0045, 0.0055, 0.0051, 0.0005, -0.0007, -0.0143, -0.0137, -0.0857, -0.0843, -0.0843, -0.0868, -0.1175, -0.1207, -0.1308, -0.1326, -0.1554, -0.1668, -0.2275, -0.9989, -0.9989, -0.9991, -0.9992, -0.9993, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, -1, 0, -9, -9, -9, -9, -14, -14, -15, -15, -15, -15, -16, -15, -16, -16, -16, -16, -16, -16, -16",27
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g1f3, c7c5, f3e5, d8h4, b1c3, h7h5, f1c4, a7a6, c4f7, e8d8, e5g6, h4f6, g6h8, d8c7, c3d5, c7d8, f7g8, a6a5, d1h5, a5a4, h8f7, d8e8, f7d6, e8d8, h5e8","[0.0042, 0.0161, 0.0163, 0.0264, 0.0271, 0.0411, 0.0399, 0.0762, 0.0752, 0.0756, 0.0778, 0.0774, 0.0789, 0.1157, 0.114, 0.1188, 0.1238, 0.141, 0.1513, 0.9995, 0.9996, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 7, 7, 7, 7, 10, 10, 11, 11, 11, 11, 11, 11, 11",25
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e6, b2b3, c7c5, d4c5, d8f6, c1b2, f6b2, d1d6, f8d6, b1a3, d6c5, h2h4, c5b4, e1d1, b2d2","[0.0061, 0.0036, 0.0032, -0.0347, -0.0352, -0.0536, -0.0511, -0.1308, -0.1326, -0.1737, -0.2177, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 1, 1, 1, -2, -2, -11, -11, -12, -12, -12, -12, -12",15
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b7b5, f1b5, b8c6, g1f3, c6a5, d2d4, a5b3, a2b3, g8h6, b1c3, h8g8, c1g5, c8b7, b5c4, b7a6, a1a6, d7d6, c4b5, c7c6, b5c6, d8d7, c6d7, e8d8, d1a1, g7g6, a6a7, a8b8, a1a5, b8b6, a5b6","[0.016, 0.0157, 0.0215, 0.0238, 0.0298, 0.0309, 0.0724, 0.071, 0.0756, 0.0746, 0.0809, 0.0816, 0.0792, 0.079, 0.0998, 0.1079, 0.1351, 0.1444, 0.2477, 0.999, 0.999, 0.9993, 0.9994, 0.9995, 0.9996, 0.9997, 0.9998, 0.9999, 0.9999, 1.0]","0, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 7, 8, 8, 17, 17, 17, 17, 18, 18, 18, 18, 23",30
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"a2a4, d5d4, d1c2, e7e5, g1h3, f8b4, c2h7, h8h7, a4a5, b8a6, a1a2, d8d7, b1c3, d7c6, c3d5, c6c4, e2e3, c4c1, e1e2, c8g4, f2f3, c1d2","[-0.0111, -0.0079, -0.014, -0.0134, -0.022, -0.024, -0.0888, -0.0846, -0.0875, -0.0847, -0.0961, -0.0916, -0.0911, -0.0929, -0.1135, -0.1171, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 1, -8, -8, -8, -8, -8, -8, -8, -8, -9, -9, -12, -12, -12, -12, -13",22
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"b8c6, c2c3, f7f5, e4f5, e6e5, d1h5, g7g6, f5g6, e8d7, g6g7, a8b8, g7h8q, d8e8, h5h7, f8g7, h8g7, g8e7, c1g5, e8d8, h7f5, d7e8, g7f7","[0.0159, 0.0158, 0.0186, 0.0179, 0.024, 0.0264, 0.0476, 0.0479, 0.0692, 0.0675, 0.14, 0.1426, 0.1454, 0.1464, 0.1604, 0.1704, 0.1791, 0.2055, 0.9991, 0.9992, 0.9999, 1.0]","1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 16, 16, 17, 17, 20, 20, 20, 20, 20, 20, 20",22
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c7c5, g1e2, b8c6, b1c3, g8f6, f2f4, b7b6, c1d2, c8b7, c3b5, h7h5, c2c4, a7a6, b5a3, d8d3, a1c1, d3e4, d1a4, e8c8, c1c3, c6b4, c3d3, b4d3, e1d1, d3b2, d1e1, b2a4, e1f2, f6g4, f2e1, a4b2, d2c1, d8d1","[0.0149, 0.0145, 0.0154, 0.0122, 0.0114, 0.0109, 0.0113, 0.0079, 0.0063, -0.0018, -0.0017, -0.0152, -0.0165, -0.0162, -0.0163, -0.0452, -0.0478, -0.0523, -0.0557, -0.0544, -0.0594, -0.1414, -0.144, -0.1457, -0.1485, -0.1668, -0.1773, -0.9995, -0.9996, -0.9996, -0.9997, -0.9999, -1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1, -1, -1, -1, -1, -1, -6, -6, -7, -7, -16, -16, -16, -16, -16, -16, -16",33
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, a7a5, f1b5, c8d7, d1e2, f7f5, b1c3, c7c5, g1f3, a5a4, d2d4, a8a6, d4c5, d8a5, e1g1, b8c6, d5c6, h7h5, c6d7, e8f7, f3e5, f7f6, c3d5, f6e6, e5g6, e6f7, g6h8","[0.0068, 0.0142, 0.0128, 0.0148, 0.0127, 0.034, 0.0336, 0.0421, 0.043, 0.0459, 0.0458, 0.0596, 0.06, 0.0656, 0.0679, 0.0809, 0.079, 0.1701, 0.1896, 0.9995, 0.9996, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 13",27
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e7e5, g1f3, e5e4, d2d3, e4f3, g2f3, d7d5, f1g2, b8c6, c2c4, d5c4, d1a4, c4d3, c1e3, f8b4, a4b4, c6b4, b2b3, b4c2, e1d1, c8f5, b1d2, d3e2, d1c1, d8f6, d2e4, f6a1, c1c2, a1a2, c2c3, e8c8, h1g1, g8f6, g1a1, a2a1, c3c2, e2e1n","[-0.0032, -0.0073, -0.0065, -0.0406, -0.0403, -0.0386, -0.0389, -0.0439, -0.0414, -0.0513, -0.05, -0.0574, -0.0559, -0.059, -0.0606, -0.0821, -0.084, -0.1107, -0.1135, -0.1255, -0.132, -0.1553, -0.171, -0.1682, -0.1832, -0.1912, -0.1919, -0.1996, -0.1908, -0.1948, -0.1732, -0.2279, -0.9989, -0.9995, -0.9996, -0.9999, -1.0]","0, 0, 0, 0, -3, -2, -2, -2, -2, -2, -3, -3, -4, -4, -4, -1, -10, -10, -10, -10, -10, -10, -11, -11, -11, -11, -16, -13, -14, -14, -14, -14, -14, -14, -19, -19, -21",37
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g1f3, b8c6, f1b5, g7g6, c2c3, a7a5, d2d4, g8f6, e1g1, f6g8, f3e5, e8e7, e5d3, e7e6, d4d5, e6f6, d5c6, f8g7, c6b7, h7h5, d1f3, f6e7, b7a8q, c7c6, b5c4, d8c7, f3f7, e7d8, f7g7, c7b7, a8a5, b7b6, a5b6, d8e8, g7f7","[0.0032, 0.0032, 0.0034, 0.0052, 0.0054, 0.0102, 0.0091, 0.0163, 0.017, 0.0225, 0.0249, 0.0403, 0.0403, 0.0639, 0.0628, 0.0644, 0.063, 0.0832, 0.0889, 0.1642, 0.1683, 0.1695, 0.1692, 0.1742, 0.1891, 0.9994, 0.9995, 0.9995, 0.9996, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 4, 4, 5, 5, 5, 5, 18, 18, 18, 18, 19, 19, 22, 22, 23, 23, 32, 32, 32",35
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"d2d3, d7d5, f1e2, b8c6, g2g3, g8f6, b2b3, d5e4, e2f3, e4f3, d1d2, e6e5, e1d1, f8d6, b3b4, d6b4, d3d4, b4d2, a2a4, d8d4, g1e2, f3e2, d1e2, c8g4, f2f3, d4e3, e2d1, g4f3","[-0.0008, -0.0007, -0.0022, -0.0007, -0.0057, -0.0061, -0.0198, -0.0173, -0.0616, -0.0606, -0.0675, -0.0679, -0.0735, -0.073, -0.0838, -0.0869, -0.1242, -0.1297, -0.1515, -0.1544, -0.9996, -0.9997, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, 0, 0, 0, 0, 0, -1, -1, -4, -4, -4, -4, -4, -4, -5, -5, -14, -14, -15, -15, -18, -17, -17, -17, -17, -17, -18",28
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c2c3, b8c6, c3d4, g7g5, d4d5, f8h6, d5c6, d7d5, d1a4, d5d4, c6b7, c7c6, b7a8q, d4d3, a4c6, e8f8, c6c8, g5g4, c8d8, f8g7, e4e5, g7g6, a8e4, g6g5, h2h4, g5h5, e4f5, h6g5, h4g5","[0.0207, 0.0114, 0.0027, 0.0073, 0.0086, 0.0445, 0.0453, 0.0509, 0.049, 0.071, 0.0733, 0.1378, 0.1399, 0.1422, 0.159, 0.1605, 0.1604, 0.9989, 0.9993, 0.9993, 0.9994, 0.9995, 0.9996, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","-3, -3, 0, 0, 0, 0, 3, 3, 3, 3, 4, 4, 17, 17, 18, 18, 21, 21, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 33",29
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c7c5, c1d2, e6e5, d2e3, f8e7, g1e2, b8c6, a2a4, c8e6, b1c3, c6d4, b2b4, g8f6, e1d2, c5b4, c3d5, f6d5, a1b1, d5e3, e2d4, e3d1, d2d1, d8d4, d1e2, a8c8, b1b2, e6g4, f2f3, d4b2, e2d2, c8c2, d2d1, c2c1","[0.0149, 0.0124, 0.0125, 0.0117, 0.0133, 0.0113, 0.0114, 0.0107, 0.011, 0.0032, 0.0052, -0.0087, -0.0079, -0.0425, -0.0438, -0.0439, -0.0457, -0.0692, -0.0679, -0.0983, -0.1043, -0.118, -0.1333, -0.1942, -0.9992, -0.9993, -0.9994, -0.9994, -0.9995, -0.9998, -0.9999, -0.9999, -1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, -3, -3, -6, -3, -12, -9, -12, -12, -12, -12, -12, -12, -17, -17, -18, -18, -18",33
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d2d4, g7g6, h2h4, h7h5, b1c3, f7f5, g1f3, f8e7, f3e5, b7b5, e5g6, e7c5, g6h8, d8h4, h1h4, b5b4, d1h5, e8e7, d4c5, a7a5, h5f7, e7d8, f7f8","[0.0056, 0.0112, 0.0114, 0.0134, 0.0139, 0.0274, 0.0277, 0.0418, 0.0442, 0.056, 0.0546, 0.0925, 0.0948, 0.1367, 0.1449, 0.9994, 0.9995, 0.9995, 0.9996, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 5, 14, 14, 15, 15, 18, 18, 18, 18, 18",23
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"f8b4, h2h3, b8c6, a2a3, b4a5, c2c3, d7d5, g1f3, e5e4, d2d4, e4f3, a3a4, f3g2, e1d2, g2h1q, a1a3, c8f5, e2e4, f5e4, a3b3, c6d4, b3b2, d8g5, d2e1, h1f1, e1f1, g5g2, f1e1, g2g1, e1d2, g1f2, d1e2, f2e2","[-0.0169, -0.0213, -0.0197, -0.0223, -0.0247, -0.0261, -0.0248, -0.0317, -0.0325, -0.0584, -0.0556, -0.0622, -0.0612, -0.1454, -0.1494, -0.1668, -0.1759, -0.1918, -0.1878, -0.2188, -0.2575, -0.9994, -0.9995, -0.9995, -0.9996, -0.9996, -0.9997, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -4, -4, -5, -5, -18, -18, -18, -18, -19, -19, -20, -20, -20, -20, -23, -14, -14, -14, -14, -14, -15, -15, -24",33
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, e8d7, d2d4, a7a5, g1f3, f7f5, f1b5, b8c6, d5c6, d7d6, c1f4, e7e5, d4e5, d6c5, f4e3, d8d4, d1d4, c5b5, b1c3, b5a6, d4d3, b7b5, d3b5","[0.007, 0.0232, 0.0273, 0.0304, 0.0315, 0.0496, 0.0486, 0.0862, 0.0879, 0.1449, 0.1522, 0.1531, 0.1547, 0.9993, 0.9994, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 5, 5, 5, 5, 14, 11, 11, 11, 11, 11, 12",23
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g2g4, g8f6, a2a4, c8g4, b1c3, g4d1, a4a5, d1c2, f2f4, d5d4, a1a4, d4c3, a4a2, c3d2, e1f2, d8d4, f2e2, d2d1q","[-0.0157, -0.0157, -0.0305, -0.0313, -0.0652, -0.066, -0.0893, -0.0886, -0.1007, -0.1007, -0.1129, -0.1185, -0.1308, -0.1333, -0.9992, -0.9993, -0.9999, -1.0]","0, 0, 0, -1, -1, -10, -10, -11, -11, -11, -11, -14, -14, -15, -15, -15, -15, -23",18
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, g7g6, f1b5, c8d7, b5d7, b8d7, g1f3, d7b6, c2c4, f7f5, e1g1, e8d7, d2d4, b6d5, d4c5, g6g5, c4d5, a8c8, d1a4, d7c7, f3g5, g8h6, c1f4, e7e5, d5e6, f8d6, c5d6, d8d6, f4d6, c7d8, a4d7","[0.0008, 0.0067, 0.0078, 0.0077, 0.0075, 0.0138, 0.013, 0.0197, 0.0201, 0.0348, 0.0365, 0.0487, 0.0534, 0.0707, 0.0712, 0.0788, 0.077, 0.081, 0.0959, 0.0984, 0.1011, 0.1408, 0.1531, 0.1498, 0.16, 0.16, 0.1613, 0.9987, 0.9991, 0.9999, 1.0]","1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 9, 8, 17, 17, 17",31
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"g8f6, b1a3, f6e4, f1d3, d6d5, d3c4, f8a3, b2b4, a3b4, d1d2, b4d2, e1f1, d5c4, g1h3, d8d4, c1d2, d4a1, f1e2, a1h1, h3g5, h1g2, g5e6, g2f2, e2d1, f2d2","[0.0049, -0.0113, -0.0116, -0.0108, -0.0111, -0.0573, -0.0581, -0.0749, -0.0787, -0.1151, -0.1148, -0.134, -0.1335, -0.1532, -0.1584, -0.1686, -0.1705, -0.1973, -0.2072, -0.2106, -0.2128, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -1, -1, -1, -1, -4, -4, -5, -5, -14, -14, -17, -17, -18, -15, -20, -20, -25, -25, -26, -25, -26, -26, -29",25
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"e4d5, c8f5, b1c3, d8c8, f1c4, b8a6, g1f3, a6b8, e1g1, f5h3, g2h3, b8a6, f1e1, b7b5, c4b5, c8d7, b5d7, e8d7, f3e5, d7d8, d1g4, g8f6, g4a4, f6g8, a4d7","[0.0018, 0.0123, 0.0122, 0.0198, 0.0215, 0.0276, 0.0288, 0.037, 0.0352, 0.061, 0.0649, 0.0754, 0.0756, 0.095, 0.1021, 0.1321, 0.1363, 0.1463, 0.152, 0.1534, 0.1626, 0.1555, 0.1777, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 5, 5, 14, 11, 11, 11, 11, 11, 11, 11, 11",25
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c7c5, g2g3, c5d4, e1d2, b8c6, b2b3, f8b4, b1c3, b4c3, d2d3, c6b4","[-0.0007, -0.0049, -0.0057, -0.029, -0.0269, -0.0559, -0.0533, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -1, -1, -1, -1, -1, -1, -4, -4, -4",11
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"c4d5, g8h6, d2d4, b7b6, e2e4, c8a6, f1a6, b6b5, a6b5, b8d7, g1f3, d8b8, b1c3, b8b5, c3b5, a8b8, b5c7, e8d8, d1a4, g7g5, c1g5, b8c8, d5d6, c8c7, d6c7, d8c8, a4a6, c8c7, a1c1, d7c5, c1c5, c7d7, a6c8, d7d6, e4e5","[0.0061, 0.019, 0.0189, 0.0302, 0.0314, 0.0586, 0.0609, 0.0863, 0.0834, 0.0825, 0.082, 0.0957, 0.0966, 0.1086, 0.1089, 0.1231, 0.1285, 0.1276, 0.1278, 0.1333, 0.1385, 0.151, 0.1682, 0.9993, 0.9994, 0.9995, 0.9996, 0.9996, 0.9997, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","1, 1, 1, 1, 1, 1, 4, 4, 5, 5, 5, 5, 5, 2, 11, 11, 12, 12, 12, 12, 13, 13, 13, 10, 15, 15, 15, 14, 14, 14, 17, 17, 17, 17, 17",35
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"e1e2, d5e4, c2c3, b8c6, e2e3, e7e5, e3e4, d8h4, e4e3, h4f4, e3d3, c8f5, d3e2, f4e4","[-0.021, -0.021, -0.0271, -0.0287, -0.0452, -0.0469, -0.072, -0.0757, -0.9997, -0.9998, -0.9998, -0.9999, -0.9999, -1.0]","0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0",14
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"g7g5, d2d4, f6e4, d4e5, d7d5, c4d5, c7c6, d5e4, f8d6, e5d6, g5g4, d1d4, a7a5, d4h8, e8d7, e4f5, d7d6, h8d4, d6c7, c1f4, d8d6, f4d6, c7d8, d4h8","[0.015, 0.0145, 0.0146, 0.0167, 0.0254, 0.0275, 0.0534, 0.0495, 0.0775, 0.0757, 0.0865, 0.0859, 0.9993, 0.9994, 0.9994, 0.9995, 0.9995, 0.9996, 0.9997, 0.9998, 0.9998, 0.9999, 0.9999, 1.0]","0, 0, -1, 0, 0, 1, 1, 4, 4, 7, 7, 7, 7, 12, 12, 12, 11, 11, 11, 11, 11, 20, 20, 20",24
Black,White,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,Stockfish,"c7c5, h2h4, c5d4, e2e4, d4e3, f2e3, f8d6, f3g1, d6g3, e1d2, g8f6, d2c3, f6e4, c3b3, d8b6, b3a4, e4c5, a4a3, b6a5","[-0.0003, -0.0121, -0.0089, -0.0134, -0.0135, -0.0328, -0.0308, -0.0438, -0.0507, -0.0529, -0.0538, -0.0759, -0.0759, -0.9996, -0.9997, -0.9998, -0.9999, -0.9999, -1.0]","0, 0, -1, -1, -2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1",19
White,Black,Stockfish,<alpha_pawn.AlphaPawn object at 0x0000018DA0D71850>,"d2d4, h7h6, c1e3, f8e7, d1g4, h6h5, g4g7, e7d6, g7h8, e6e5, h8g8, e8e7, e3g5, e7e6, f1c4","[0.0045, 0.0057, 0.0062, 0.011, 0.0089, 0.0184, 0.0172, 0.078, 0.0826, 0.1144, 0.116, 0.1764, 0.1786, 0.9999, 1.0]","0, 0, 0, 0, 0, 0, 1, 1, 6, 6, 9, 9, 9, 9, 9",15
